DATE (MM/DD/YYYY),MST,Global CMP22 (vent/cor) [W/m^2],Direct CHP1-2 [W/m^2],Diffuse CM22-2 (vent/cor) [W/m^2]
11/12/19,6:44,8.6044,111.91,8.00582
11/12/19,6:45,10.4614,163.444,7.68745
11/12/19,6:46,11.9903,190.906,7.48343
11/12/19,6:47,13.5345,211.786,8.31785
11/12/19,6:48,15.2378,231.24,9.16226
11/12/19,6:49,16.6995,242.866,9.94084
11/12/19,6:50,18.3146,257.514,10.7039
11/12/19,6:51,20.1383,274.545,11.4648
11/12/19,6:52,21.7885,288.215,12.0246
11/12/19,6:53,23.4843,302.024,12.4824
11/12/19,6:54,25.509,319.38,13.0336
11/12/19,6:55,27.4893,330.753,13.6874
11/12/19,6:56,29.0344,335.504,14.196
11/12/19,6:57,30.7395,342.386,14.7401
11/12/19,6:58,32.7103,356.833,15.3464
11/12/19,6:59,34.7613,371.193,15.8487
11/12/19,7:00,36.8492,383.757,16.4095
11/12/19,7:01,38.9608,392.913,17.0994
11/12/19,7:02,41.2485,404.282,17.9195
11/12/19,7:03,43.4492,414.142,18.5084
11/12/19,7:04,45.4784,426.164,18.7592
11/12/19,7:05,48.1297,443.313,19.3139
11/12/19,7:06,50.9772,462.058,20.0076
11/12/19,7:07,53.691,476.59,20.6604
11/12/19,7:08,56.5198,491.381,21.2535
11/12/19,7:09,59.433,505.312,21.8764
11/12/19,7:10,62.131,515.611,22.4618
11/12/19,7:11,65.1151,528.266,23.0337
11/12/19,7:12,67.8732,537.273,23.5846
11/12/19,7:13,70.373,541.631,24.1596
11/12/19,7:14,72.9413,546.615,24.5594
11/12/19,7:15,75.5405,553.193,24.9688
11/12/19,7:16,78.3037,561.35,25.5499
11/12/19,7:17,81.2411,569.502,26.22
11/12/19,7:18,84.1184,574.026,26.9315
11/12/19,7:19,86.9245,577.556,27.7378
11/12/19,7:20,89.6673,583.341,28.4846
11/12/19,7:21,92.665,590.067,28.9745
11/12/19,7:22,95.6201,600.666,29.3
11/12/19,7:23,98.8947,612.505,29.4563
11/12/19,7:24,101.612,619.186,29.8287
11/12/19,7:25,104.703,626.722,30.2523
11/12/19,7:26,107.37,630.707,30.7014
11/12/19,7:27,110.105,635.983,31.0411
11/12/19,7:28,113.175,643.225,31.4348
11/12/19,7:29,116.464,651.213,31.8938
11/12/19,7:30,118.542,651.573,32.17
11/12/19,7:31,121.773,660.62,32.5057
11/12/19,7:32,123.336,656.333,32.9392
11/12/19,7:33,122.729,638.669,33.3144
11/12/19,7:34,132.337,689.503,33.7424
11/12/19,7:35,135.833,697.812,34.1548
11/12/19,7:36,138.614,700.848,34.4323
11/12/19,7:37,141.555,706.2,34.7141
11/12/19,7:38,144.465,710.347,35.1505
11/12/19,7:39,147.952,718.14,35.5301
11/12/19,7:40,150.587,720.643,35.7817
11/12/19,7:41,153.552,725.076,36.064
11/12/19,7:42,156.804,730.736,36.4294
11/12/19,7:43,160.019,737.591,36.6889
11/12/19,7:44,163.625,745.155,36.9648
11/12/19,7:45,167.032,751.621,37.2461
11/12/19,7:46,170.373,757.536,37.5039
11/12/19,7:47,173.55,761.763,37.8168
11/12/19,7:48,176.694,766.239,38.165
11/12/19,7:49,179.743,770.17,38.4747
11/12/19,7:50,182.955,774.585,38.7006
11/12/19,7:51,186.058,778.668,38.8615
11/12/19,7:52,189.298,783.27,39.0508
11/12/19,7:53,192.5,787.718,39.3421
11/12/19,7:54,195.631,791.564,39.6535
11/12/19,7:55,198.706,794.915,39.9788
11/12/19,7:56,201.327,796.073,40.3291
11/12/19,7:57,204.673,800.281,40.639
11/12/19,7:58,207.867,803.931,40.9051
11/12/19,7:59,210.806,806.53,41.083
11/12/19,8:00,214.316,811.901,41.2523
11/12/19,8:01,217.463,815.721,41.481
11/12/19,8:02,220.582,819.314,41.7546
11/12/19,8:03,223.58,821.199,42.0618
11/12/19,8:04,226.421,822.979,42.4206
11/12/19,8:05,229.522,824.83,42.8816
